City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,greymouth,-42.4667,171.2,284.57,87,97,2.1,NZ,1714466383
83,carnarvon,-24.8667,113.6333,299.74,62,49,7.24,AU,1714466383
84,port lincoln,-34.7333,135.8667,287.15,68,80,8.63,AU,1714466181
85,olonkinbyen,70.9221,-8.7187,272.53,85,100,2.34,SJ,1714466383
86,talnakh,69.4865,88.3972,261.67,87,100,7.61,RU,1714466383
87,mamuju,-2.6748,118.8885,300.59,86,100,2.57,ID,1714466383
88,lebu,-37.6167,-73.65,283.74,80,100,7.87,CL,1714466384
89,taybad,34.74,60.7756,293.79,19,0,5.8,IR,1714466384
90,nikolayevsk-on-amure,53.1406,140.73,278.83,48,76,3.58,RU,1714466384
91,port mathurin,-19.6833,63.4167,299.19,66,71,8.31,MU,1714466384
92,albany,42.6001,-73.9662,285.14,79,95,0.44,US,1714466244
93,punta arenas,-53.15,-70.9167,277.21,81,40,5.14,CL,1714466192
94,westport,41.1415,-73.3579,286.53,81,100,5.66,US,1714466238
95,buon ma thuot,12.6667,108.05,309.62,31,90,5.06,VN,1714466385
96,ancud,-41.8697,-73.8203,279.43,82,100,3.4,CL,1714466385
97,besskorbnaya,44.6447,41.311,288.48,78,100,5.48,RU,1714466385
98,frontera,26.9333,-101.45,299.76,60,1,0.89,MX,1714466385
99,kingston,17.997,-76.7936,300.68,78,20,3.6,JM,1714466230
100,prainha,-1.8,-53.48,296.03,98,48,0.98,BR,1714466385
101,axim,4.8699,-2.2405,303.75,70,63,2.6,GH,1714466386
102,tiksi,71.6872,128.8694,262.19,94,99,3.27,RU,1714466386
103,sengkang,-4.1279,120.0297,301.3,82,100,1.99,ID,1714466386
104,ilulissat,69.2167,-51.1,270.16,86,75,8.23,GL,1714466386
105,veraval,20.9,70.3667,305.06,48,1,9.65,IN,1714466386
106,port shepstone,-30.7414,30.455,299.73,53,0,3.02,ZA,1714466387
107,amga,60.8953,131.9608,274.9,61,97,2.36,RU,1714466387
108,zherdevka,51.8486,41.4606,291.11,46,0,3.03,RU,1714466387
109,mejit,10.2753,170.8646,300.81,84,100,9.04,MH,1714466388
110,kidal,18.4411,1.4078,307.09,19,99,9.87,ML,1714466388
111,krotoszyn,51.6987,17.4374,297.91,49,39,7.24,PL,1714466213
112,bireun,5.203,96.7009,303.65,72,100,3.02,ID,1714466388
113,nueva esperanza,15.2667,-87.6,297.94,88,100,1.09,HN,1714466388
